Group A,Group B,t_stat,p_value,Regularization
SMOTE,Undersample,-1.4761759592098924,0.21393936458238186,L1
SMOTE,ClassWeight,-0.7240197862357138,0.5091320830523898,L1
Undersample,ClassWeight,1.459642037993861,0.21816182598373202,L1
SMOTE,Undersample,-0.9479332937608091,0.39684025696736086,L2
SMOTE,ClassWeight,-0.6398711069287399,0.5570672144126011,L2
Undersample,ClassWeight,0.6964229429531813,0.5245126201002888,L2
SMOTE,Undersample,-1.1225741831545926,0.3244430115456498,ElasticNet
SMOTE,ClassWeight,-0.6614630767248884,0.5444745461845881,ElasticNet
Undersample,ClassWeight,1.0173202551467466,0.3665291923503173,ElasticNet
