Imbalance_Method,Regularization,Dataset,pr_auc_mean,pr_auc_std
SMOTE,L1,uci_seizure,0.4543281694833808,0.031177377219732322
SMOTE,L2,uci_seizure,0.45352784448928574,0.03089926921674648
SMOTE,ElasticNet,uci_seizure,0.4541044535699113,0.03126773275106275
Undersample,L1,uci_seizure,0.4661885611514845,0.02024607224196491
Undersample,L2,uci_seizure,0.4613422525155825,0.0209681479134065
Undersample,ElasticNet,uci_seizure,0.4634967472670358,0.020629080108485173
ClassWeight,L1,uci_seizure,0.4599483146830937,0.02788215519867687
ClassWeight,L2,uci_seizure,0.45853872962722286,0.028018290037277724
ClassWeight,ElasticNet,uci_seizure,0.4593221652054633,0.027844004525454928
SMOTE,L1,eeg_eye_state,0.6009251316521041,0.013014493058385108
SMOTE,L2,eeg_eye_state,0.6020040401960587,0.011384105905267887
SMOTE,ElasticNet,eeg_eye_state,0.6010947267089394,0.012913709484139863
Undersample,L1,eeg_eye_state,0.601556857366309,0.013367006829631182
Undersample,L2,eeg_eye_state,0.60253463246189,0.011674243410006295
Undersample,ElasticNet,eeg_eye_state,0.6017013121737917,0.013365281510026509
ClassWeight,L1,eeg_eye_state,0.6017511659105563,0.01365491896466058
ClassWeight,L2,eeg_eye_state,0.6028157905551474,0.011850070053207973
ClassWeight,ElasticNet,eeg_eye_state,0.6019208504832092,0.01361899524497058
